Temperature (C),Pressure (kPa),Density (g/ml),Volume (ml/g),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
22,0,0,infinite,19.738,22.192,476.57,28.688,37.003,268.18,undefined,14.779,0.016357,vapor
22,66.667,0.0011997,833.55,19.719,22.164,123.58,28.764,37.21,267.66,11.217,14.784,0.016386,vapor
22,133.33,0.0024077,415.33,19.699,22.136,117.75,28.839,37.421,267.13,11.221,14.789,0.016416,vapor
22,200,0.0036242,275.92,19.68,22.108,114.32,28.916,37.635,266.6,11.224,14.794,0.016447,vapor
22,266.67,0.0048493,206.21,19.66,22.08,111.86,28.993,37.853,266.07,11.228,14.8,0.016478,vapor
22,333.33,0.0060832,164.39,19.64,22.052,109.93,29.071,38.075,265.54,11.231,14.806,0.01651,vapor
22,400,0.007326,136.5,19.62,22.023,108.35,29.149,38.301,265,11.235,14.812,0.016543,vapor
22,466.67,0.008578,116.58,19.6,21.994,107,29.228,38.531,264.46,11.238,14.819,0.016576,vapor
22,533.33,0.0098392,101.63,19.58,21.965,105.82,29.308,38.765,263.92,11.242,14.826,0.01661,vapor
22,600,0.01111,90.01,19.559,21.936,104.77,29.389,39.004,263.38,11.246,14.833,0.016645,vapor
22,666.67,0.01239,80.708,19.539,21.907,103.83,29.47,39.247,262.83,11.249,14.84,0.016681,vapor
22,733.33,0.01368,73.097,19.518,21.877,102.96,29.552,39.494,262.28,11.253,14.848,0.016717,vapor
22,800,0.014981,66.753,19.497,21.848,102.17,29.634,39.746,261.73,11.256,14.856,0.016754,vapor
22,866.67,0.016291,61.383,19.476,21.818,101.43,29.718,40.004,261.18,11.26,14.864,0.016792,vapor
22,933.33,0.017612,56.78,19.455,21.788,100.74,29.802,40.266,260.62,11.264,14.873,0.01683,vapor
22,1000,0.018943,52.789,19.434,21.757,100.09,29.888,40.534,260.06,11.267,14.882,0.01687,vapor
22,1066.7,0.020286,49.296,19.413,21.727,99.483,29.974,40.807,259.49,11.271,14.891,0.01691,vapor
22,1133.3,0.021639,46.212,19.391,21.696,98.905,30.061,41.086,258.93,11.275,14.9,0.016951,vapor
22,1200,0.023004,43.47,19.369,21.665,98.354,30.149,41.371,258.36,11.278,14.91,0.016993,vapor
22,1266.7,0.024381,41.016,19.347,21.634,97.829,30.237,41.662,257.78,11.282,14.921,0.017037,vapor
22,1333.3,0.025769,38.807,19.325,21.602,97.326,30.327,41.959,257.21,11.285,14.931,0.017081,vapor
22,1400,0.027169,36.807,19.303,21.571,96.843,30.418,42.262,256.63,11.289,14.942,0.017126,vapor
22,1466.7,0.028582,34.987,19.28,21.539,96.378,30.51,42.573,256.04,11.293,14.954,0.017172,vapor
22,1533.3,0.030007,33.325,19.258,21.506,95.929,30.603,42.891,255.46,11.296,14.966,0.01722,vapor
22,1600,0.031445,31.801,19.235,21.474,95.496,30.697,43.215,254.87,11.299,14.978,0.017268,vapor
22,1666.7,0.032897,30.398,19.212,21.441,95.076,30.792,43.548,254.27,11.303,14.99,0.017318,vapor
22,1733.3,0.034362,29.102,19.188,21.408,94.669,30.889,43.888,253.67,11.306,15.003,0.017369,vapor
22,1800,0.035841,27.901,19.165,21.375,94.273,30.986,44.237,253.07,11.31,15.017,0.017421,vapor
22,1866.7,0.037334,26.785,19.141,21.342,93.888,31.085,44.595,252.47,11.313,15.031,0.017475,vapor
22,1933.3,0.038842,25.745,19.117,21.308,93.512,31.186,44.961,251.86,11.316,15.045,0.01753,vapor
22,2000,0.040365,24.774,19.093,21.274,93.146,31.287,45.336,251.25,11.319,15.06,0.017586,vapor
22,2066.7,0.041903,23.865,19.069,21.239,92.788,31.39,45.722,250.63,11.322,15.076,0.017644,vapor
22,2133.3,0.043457,23.011,19.044,21.205,92.437,31.495,46.117,250.01,11.325,15.091,0.017703,vapor
22,2200,0.045027,22.209,19.019,21.17,92.094,31.601,46.523,249.38,11.328,15.108,0.017764,vapor
22,2266.7,0.046613,21.453,18.994,21.135,91.758,31.708,46.94,248.75,11.331,15.125,0.017827,vapor
22,2333.3,0.048217,20.74,18.969,21.099,91.427,31.817,47.369,248.11,11.334,15.142,0.017891,vapor
22,2400,0.049838,20.065,18.944,21.063,91.103,31.928,47.81,247.48,11.336,15.16,0.017958,vapor
22,2466.7,0.051477,19.426,18.918,21.027,90.783,32.04,48.263,246.83,11.339,15.179,0.018026,vapor
22,2533.3,0.053135,18.82,18.892,20.99,90.469,32.155,48.73,246.18,11.341,15.198,0.018096,vapor
22,2600,0.054811,18.244,18.865,20.953,90.159,32.271,49.21,245.53,11.343,15.218,0.018168,vapor
22,2666.7,0.056508,17.697,18.839,20.916,89.854,32.389,49.706,244.87,11.345,15.238,0.018242,vapor
22,2733.3,0.058224,17.175,18.812,20.878,89.553,32.509,50.216,244.2,11.347,15.26,0.018319,vapor
22,2800,0.059962,16.677,18.784,20.84,89.255,32.631,50.743,243.53,11.349,15.282,0.018398,vapor
22,2866.7,0.06172,16.202,18.757,20.801,88.961,32.756,51.287,242.86,11.351,15.304,0.01848,vapor
22,2933.3,0.063502,15.748,18.729,20.762,88.67,32.882,51.849,242.17,11.352,15.327,0.018564,vapor
22,3000,0.065305,15.313,18.701,20.722,88.382,33.011,52.429,241.49,11.353,15.351,0.01865,vapor
22,3066.7,0.067133,14.896,18.672,20.683,88.096,33.143,53.03,240.79,11.354,15.376,0.01874,vapor
22,3133.3,0.068985,14.496,18.643,20.642,87.814,33.277,53.651,240.09,11.355,15.402,0.018833,vapor
22,3200,0.070863,14.112,18.614,20.601,87.533,33.414,54.295,239.38,11.356,15.429,0.018929,vapor
22,3266.7,0.072766,13.743,18.584,20.56,87.254,33.553,54.963,238.67,11.356,15.456,0.019028,vapor
22,3333.3,0.074697,13.387,18.554,20.518,86.978,33.696,55.655,237.95,11.356,15.484,0.019131,vapor
22,3400,0.076656,13.045,18.524,20.476,86.703,33.841,56.374,237.22,11.356,15.514,0.019237,vapor
22,3466.7,0.078645,12.715,18.493,20.433,86.429,33.99,57.122,236.49,11.355,15.544,0.019348,vapor
22,3533.3,0.080663,12.397,18.461,20.389,86.157,34.142,57.899,235.74,11.354,15.575,0.019462,vapor
22,3600,0.082714,12.09,18.43,20.345,85.886,34.298,58.709,234.99,11.353,15.608,0.019581,vapor
22,3666.7,0.084797,11.793,18.397,20.3,85.615,34.458,59.553,234.23,11.352,15.641,0.019705,vapor
22,3733.3,0.086914,11.506,18.365,20.255,85.346,34.621,60.433,233.46,11.35,15.676,0.019834,vapor
22,3800,0.089067,11.227,18.331,20.209,85.077,34.789,61.353,232.68,11.347,15.712,0.019968,vapor
22,3866.7,0.091258,10.958,18.297,20.162,84.808,34.961,62.315,231.9,11.344,15.75,0.020107,vapor
22,3933.3,0.093487,10.697,18.263,20.115,84.539,35.138,63.323,231.1,11.341,15.788,0.020253,vapor
22,4000,0.095758,10.443,18.228,20.066,84.271,35.32,64.38,230.29,11.337,15.828,0.020405,vapor
22,4066.7,0.098071,10.197,18.192,20.017,84.002,35.507,65.489,229.47,11.333,15.87,0.020564,vapor
22,4133.3,0.10043,9.9573,18.156,19.967,83.733,35.699,66.656,228.64,11.328,15.913,0.02073,vapor
22,4200,0.10283,9.7245,18.119,19.917,83.463,35.898,67.886,227.8,11.323,15.958,0.020904,vapor
22,4266.7,0.10529,9.4977,18.081,19.865,83.192,36.103,69.183,226.95,11.316,16.005,0.021087,vapor
22,4333.3,0.1078,9.2769,18.043,19.812,82.92,36.314,70.554,226.08,11.31,16.054,0.021279,vapor
22,4400,0.11036,9.0615,18.004,19.758,82.647,36.533,72.006,225.2,11.302,16.105,0.021481,vapor
22,4466.7,0.11298,8.8513,17.964,19.704,82.372,36.76,73.547,224.3,11.293,16.157,0.021694,vapor
22,4533.3,0.11566,8.646,17.923,19.648,82.096,36.995,75.185,223.39,11.284,16.212,0.021918,vapor
22,4600,0.11841,8.4453,17.881,19.59,81.817,37.239,76.932,222.46,11.274,16.27,0.022155,vapor
22,4666.7,0.12123,8.2489,17.838,19.532,81.536,37.493,78.8,221.52,11.262,16.33,0.022406,vapor
22,4733.3,0.12412,8.0566,17.794,19.472,81.252,37.758,80.801,220.55,11.25,16.393,0.022673,vapor
22,4800,0.1271,7.8681,17.749,19.411,80.965,38.034,82.953,219.57,11.236,16.459,0.022956,vapor
22,4866.7,0.13016,7.6831,17.702,19.348,80.674,38.323,85.274,218.56,11.221,16.528,0.023258,vapor
22,4933.3,0.13331,7.5013,17.654,19.283,80.38,38.626,87.787,217.53,11.204,16.601,0.02358,vapor
22,5000,0.13656,7.3226,17.605,19.217,80.081,38.944,90.517,216.47,11.186,16.677,0.023926,vapor
22,5066.7,0.13993,7.1466,17.555,19.148,79.777,39.279,93.498,215.39,11.166,16.758,0.024297,vapor
22,5133.3,0.14341,6.9731,17.502,19.077,79.467,39.634,96.768,214.27,11.144,16.843,0.024697,vapor
22,5200,0.14702,6.8018,17.448,19.004,79.151,40.009,100.37,213.13,11.12,16.933,0.02513,vapor
22,5266.7,0.15078,6.6323,17.391,18.928,78.827,40.409,104.38,211.94,11.093,17.029,0.025601,vapor
22,5333.3,0.15469,6.4644,17.332,18.85,78.495,40.836,108.85,210.71,11.064,17.131,0.026116,vapor
22,5400,0.15879,6.2977,17.271,18.768,78.154,41.294,113.89,209.44,11.031,17.24,0.026681,vapor
22,5466.7,0.16309,6.1318,17.207,18.682,77.802,41.789,119.62,208.12,10.994,17.357,0.027305,vapor
22,5533.3,0.16761,5.9662,17.139,18.592,77.437,42.327,126.21,206.73,10.953,17.483,0.028,vapor
22,5600,0.1724,5.8004,17.068,18.498,77.058,42.916,133.88,205.27,10.907,17.62,0.028781,vapor
22,5666.7,0.1775,5.6338,16.992,18.397,76.661,43.568,142.96,203.73,10.855,17.769,0.029668,vapor
22,5733.3,0.18296,5.4656,16.911,18.29,76.244,44.299,153.91,202.09,10.796,17.934,0.03069,vapor
22,5800,0.18887,5.2946,16.824,18.175,75.8,45.13,167.46,200.33,10.728,18.116,0.031886,vapor
22,5866.7,0.19533,5.1194,16.728,18.05,75.324,46.099,184.76,198.39,10.647,18.321,0.033319,vapor
22,5933.3,0.20252,4.9379,16.622,17.912,74.806,47.262,207.9,196.24,10.55,18.556,0.035092,vapor
22,6000,0.21068,4.7466,16.502,17.755,74.228,48.73,240.98,193.76,10.43,18.832,0.037395,vapor
22,6003.1,0.21108,4.7375,16.496,17.748,74.2,48.808,242.87,193.64,10.423,18.847,0.037519,vapor
22,6003.11,0.75077,1.332,11.219,11.571,53.274,45.239,213.29,314.08,1.7423,62.67,0.083395,liquid
22,6066.7,0.75373,1.3267,11.194,11.548,53.184,45.009,207.04,318.75,1.6961,63.117,0.083601,liquid
22,6133.3,0.75667,1.3216,11.169,11.526,53.093,44.795,201.26,323.37,1.6515,63.565,0.083827,liquid
22,6200,0.75946,1.3167,11.145,11.504,53.007,44.602,196.11,327.74,1.6102,63.995,0.084057,liquid
22,6266.7,0.76213,1.3121,11.122,11.484,52.924,44.426,191.49,331.9,1.5718,64.409,0.084292,liquid
22,6333.3,0.76468,1.3077,11.099,11.464,52.845,44.265,187.31,335.88,1.5359,64.808,0.084528,liquid
22,6400,0.76713,1.3036,11.078,11.445,52.768,44.117,183.5,339.69,1.5021,65.194,0.084765,liquid
22,6466.7,0.76949,1.2996,11.057,11.427,52.694,43.979,180.01,343.37,1.4703,65.568,0.085002,liquid
22,6533.3,0.77176,1.2957,11.037,11.41,52.623,43.85,176.8,346.92,1.4402,65.931,0.085239,liquid
22,6600,0.77396,1.2921,11.018,11.393,52.554,43.729,173.83,350.35,1.4117,66.284,0.085474,liquid
22,6666.7,0.77608,1.2885,10.999,11.377,52.486,43.616,171.07,353.68,1.3846,66.628,0.085708,liquid
22,6733.3,0.77814,1.2851,10.981,11.362,52.421,43.508,168.49,356.91,1.3588,66.963,0.08594,liquid
22,6800,0.78014,1.2818,10.963,11.347,52.357,43.407,166.09,360.06,1.3341,67.29,0.086171,liquid
22,6866.7,0.78208,1.2786,10.946,11.332,52.295,43.311,163.83,363.12,1.3105,67.61,0.086399,liquid
22,6933.3,0.78397,1.2756,10.929,11.318,52.235,43.219,161.71,366.1,1.2879,67.923,0.086626,liquid
22,7000,0.7858,1.2726,10.912,11.304,52.176,43.133,159.7,369.01,1.2662,68.23,0.08685,liquid
22,7066.7,0.78759,1.2697,10.896,11.291,52.118,43.05,157.81,371.85,1.2454,68.53,0.087072,liquid
22,7133.3,0.78934,1.2669,10.88,11.278,52.062,42.97,156.02,374.63,1.2253,68.825,0.087292,liquid
22,7200,0.79104,1.2642,10.865,11.265,52.007,42.895,154.32,377.35,1.206,69.114,0.08751,liquid
22,7266.7,0.79271,1.2615,10.85,11.253,51.953,42.822,152.7,380.02,1.1873,69.398,0.087725,liquid
22,7333.3,0.79433,1.2589,10.835,11.241,51.9,42.753,151.16,382.63,1.1693,69.678,0.087939,liquid
22,7400,0.79593,1.2564,10.82,11.23,51.848,42.687,149.69,385.19,1.1519,69.952,0.08815,liquid
22,7466.7,0.79749,1.2539,10.806,11.218,51.797,42.623,148.29,387.7,1.1351,70.222,0.088359,liquid
22,7533.3,0.79901,1.2515,10.792,11.207,51.747,42.561,146.95,390.16,1.1188,70.488,0.088566,liquid
22,7600,0.80051,1.2492,10.779,11.196,51.698,42.502,145.66,392.58,1.103,70.75,0.088771,liquid
22,7666.7,0.80198,1.2469,10.765,11.186,51.649,42.446,144.43,394.96,1.0876,71.008,0.088975,liquid
22,7733.3,0.80342,1.2447,10.752,11.175,51.602,42.391,143.25,397.3,1.0728,71.263,0.089176,liquid
22,7800,0.80483,1.2425,10.739,11.165,51.555,42.338,142.11,399.6,1.0583,71.514,0.089375,liquid
22,7866.7,0.80622,1.2404,10.726,11.155,51.509,42.288,141.02,401.86,1.0443,71.761,0.089572,liquid
22,7933.3,0.80759,1.2383,10.713,11.146,51.464,42.239,139.96,404.08,1.0306,72.005,0.089767,liquid
22,8000,0.80893,1.2362,10.701,11.136,51.419,42.191,138.95,406.28,1.0173,72.247,0.089961,liquid
22,8066.7,0.81025,1.2342,10.689,11.127,51.375,42.146,137.97,408.43,1.0044,72.485,0.090153,liquid
22,8133.3,0.81155,1.2322,10.677,11.118,51.332,42.101,137.02,410.56,0.99175,72.72,0.090343,liquid
22,8200,0.81282,1.2303,10.665,11.109,51.29,42.059,136.11,412.66,0.97945,72.953,0.090531,liquid
22,8266.7,0.81408,1.2284,10.653,11.1,51.247,42.018,135.22,414.73,0.96746,73.182,0.090718,liquid
22,8333.3,0.81532,1.2265,10.641,11.091,51.206,41.978,134.37,416.76,0.95575,73.41,0.090903,liquid
22,8400,0.81654,1.2247,10.63,11.083,51.165,41.939,133.54,418.78,0.94433,73.634,0.091086,liquid
22,8466.7,0.81774,1.2229,10.619,11.074,51.125,41.902,132.73,420.76,0.93317,73.857,0.091268,liquid
22,8533.3,0.81892,1.2211,10.608,11.066,51.085,41.865,131.95,422.72,0.92226,74.077,0.091448,liquid
22,8600,0.82009,1.2194,10.597,11.058,51.045,41.83,131.2,424.65,0.9116,74.295,0.091627,liquid
22,8666.7,0.82124,1.2177,10.586,11.05,51.007,41.796,130.46,426.56,0.90118,74.51,0.091804,liquid
22,8733.3,0.82238,1.216,10.575,11.042,50.968,41.763,129.75,428.45,0.89098,74.724,0.09198,liquid
22,8800,0.8235,1.2143,10.565,11.035,50.93,41.731,129.06,430.31,0.881,74.935,0.092154,liquid
22,8866.7,0.82461,1.2127,10.554,11.027,50.893,41.7,128.38,432.15,0.87123,75.145,0.092327,liquid
22,8933.3,0.8257,1.2111,10.544,11.02,50.855,41.669,127.73,433.97,0.86167,75.352,0.092499,liquid
22,9000,0.82678,1.2095,10.534,11.013,50.819,41.64,127.09,435.77,0.85229,75.558,0.092669,liquid
22,9066.7,0.82784,1.208,10.523,11.005,50.783,41.611,126.47,437.55,0.84311,75.762,0.092838,liquid
22,9133.3,0.82889,1.2064,10.513,10.998,50.747,41.584,125.86,439.31,0.8341,75.964,0.093006,liquid
22,9200,0.82993,1.2049,10.504,10.991,50.711,41.557,125.27,441.05,0.82527,76.164,0.093172,liquid
22,9266.7,0.83096,1.2034,10.494,10.985,50.676,41.53,124.69,442.77,0.81661,76.363,0.093337,liquid
22,9333.3,0.83197,1.202,10.484,10.978,50.641,41.505,124.13,444.47,0.80812,76.56,0.093501,liquid
22,9400,0.83298,1.2005,10.475,10.971,50.607,41.48,123.58,446.16,0.79978,76.755,0.093664,liquid
22,9466.7,0.83397,1.1991,10.465,10.965,50.573,41.456,123.05,447.83,0.7916,76.949,0.093826,liquid
22,9533.3,0.83495,1.1977,10.456,10.958,50.539,41.432,122.52,449.48,0.78356,77.141,0.093986,liquid
22,9600,0.83592,1.1963,10.447,10.952,50.505,41.409,122.01,451.11,0.77567,77.332,0.094145,liquid
22,9666.7,0.83688,1.1949,10.437,10.946,50.472,41.387,121.51,452.73,0.76791,77.521,0.094304,liquid
22,9733.3,0.83783,1.1936,10.428,10.939,50.44,41.365,121.02,454.34,0.76029,77.709,0.094461,liquid
22,9800,0.83877,1.1922,10.419,10.933,50.407,41.344,120.54,455.92,0.75281,77.896,0.094617,liquid
22,9866.7,0.8397,1.1909,10.41,10.927,50.375,41.323,120.08,457.5,0.74545,78.081,0.094772,liquid
22,9933.3,0.84062,1.1896,10.401,10.921,50.343,41.303,119.62,459.06,0.73821,78.266,0.094926,liquid
22,10000,0.84153,1.1883,10.393,10.916,50.311,41.283,119.17,460.6,0.73109,78.448,0.095079,liquid
22,10067,0.84244,1.187,10.384,10.91,50.28,41.264,118.73,462.13,0.72409,78.63,0.095231,liquid
22,10133,0.84333,1.1858,10.375,10.904,50.249,41.246,118.3,463.65,0.7172,78.81,0.095382,liquid
22,10200,0.84422,1.1845,10.367,10.899,50.218,41.227,117.88,465.16,0.71042,78.989,0.095533,liquid
22,10267,0.84509,1.1833,10.358,10.893,50.187,41.209,117.47,466.65,0.70375,79.167,0.095682,liquid
22,10333,0.84596,1.1821,10.35,10.888,50.157,41.192,117.07,468.13,0.69718,79.344,0.09583,liquid
22,10400,0.84682,1.1809,10.342,10.882,50.127,41.175,116.67,469.59,0.69072,79.52,0.095978,liquid
22,10467,0.84767,1.1797,10.333,10.877,50.097,41.159,116.28,471.05,0.68435,79.694,0.096124,liquid
22,10533,0.84852,1.1785,10.325,10.871,50.068,41.142,115.9,472.49,0.67808,79.868,0.09627,liquid
22,10600,0.84936,1.1774,10.317,10.866,50.038,41.127,115.52,473.92,0.6719,80.04,0.096415,liquid
22,10667,0.85019,1.1762,10.309,10.861,50.009,41.111,115.16,475.34,0.66581,80.212,0.096559,liquid
22,10733,0.85101,1.1751,10.301,10.856,49.98,41.096,114.8,476.75,0.65982,80.382,0.096702,liquid
22,10800,0.85183,1.1739,10.293,10.851,49.952,41.081,114.44,478.14,0.65391,80.551,0.096844,liquid
22,10867,0.85264,1.1728,10.285,10.846,49.923,41.067,114.09,479.53,0.64808,80.72,0.096986,liquid
22,10933,0.85344,1.1717,10.277,10.841,49.895,41.053,113.75,480.9,0.64233,80.887,0.097126,liquid
22,11000,0.85423,1.1706,10.27,10.836,49.867,41.039,113.42,482.27,0.63667,81.054,0.097266,liquid
22,11067,0.85502,1.1696,10.262,10.832,49.839,41.025,113.09,483.62,0.63109,81.22,0.097405,liquid
22,11133,0.8558,1.1685,10.254,10.827,49.811,41.012,112.76,484.97,0.62558,81.385,0.097544,liquid
22,11200,0.85658,1.1674,10.247,10.822,49.784,40.999,112.44,486.31,0.62014,81.548,0.097681,liquid
22,11267,0.85735,1.1664,10.239,10.818,49.757,40.987,112.13,487.63,0.61478,81.711,0.097818,liquid
22,11333,0.85811,1.1653,10.232,10.813,49.73,40.974,111.82,488.95,0.60949,81.874,0.097955,liquid
22,11400,0.85887,1.1643,10.224,10.808,49.703,40.962,111.52,490.25,0.60427,82.035,0.09809,liquid
22,11467,0.85962,1.1633,10.217,10.804,49.676,40.951,111.22,491.55,0.59912,82.196,0.098225,liquid
22,11533,0.86037,1.1623,10.21,10.8,49.649,40.939,110.93,492.84,0.59404,82.355,0.098359,liquid
22,11600,0.86111,1.1613,10.202,10.795,49.623,40.928,110.64,494.12,0.58902,82.514,0.098493,liquid
22,11667,0.86185,1.1603,10.195,10.791,49.597,40.917,110.35,495.39,0.58406,82.672,0.098625,liquid
22,11733,0.86258,1.1593,10.188,10.787,49.571,40.906,110.07,496.66,0.57917,82.83,0.098757,liquid
22,11800,0.8633,1.1583,10.181,10.782,49.545,40.895,109.8,497.91,0.57434,82.986,0.098889,liquid
22,11867,0.86402,1.1574,10.174,10.778,49.519,40.885,109.52,499.16,0.56957,83.142,0.09902,liquid
22,11933,0.86474,1.1564,10.167,10.774,49.494,40.875,109.26,500.4,0.56485,83.298,0.09915,liquid
22,12000,0.86544,1.1555,10.16,10.77,49.469,40.865,108.99,501.63,0.5602,83.452,0.099279,liquid
22,12067,0.86615,1.1545,10.153,10.766,49.443,40.855,108.73,502.85,0.5556,83.606,0.099408,liquid
22,12133,0.86685,1.1536,10.146,10.762,49.418,40.845,108.48,504.06,0.55105,83.759,0.099537,liquid
22,12200,0.86754,1.1527,10.139,10.758,49.393,40.836,108.23,505.27,0.54656,83.911,0.099665,liquid
22,12267,0.86823,1.1518,10.132,10.754,49.369,40.827,107.98,506.47,0.54212,84.063,0.099792,liquid
22,12333,0.86892,1.1509,10.125,10.75,49.344,40.818,107.73,507.66,0.53773,84.214,0.099918,liquid
22,12400,0.8696,1.15,10.119,10.746,49.32,40.809,107.49,508.85,0.5334,84.364,0.10004,liquid
22,12467,0.87027,1.1491,10.112,10.742,49.295,40.8,107.25,510.03,0.52911,84.514,0.10017,liquid
22,12533,0.87095,1.1482,10.105,10.739,49.271,40.792,107.02,511.2,0.52487,84.663,0.10029,liquid
22,12600,0.87161,1.1473,10.099,10.735,49.247,40.784,106.79,512.37,0.52068,84.812,0.10042,liquid
22,12667,0.87228,1.1464,10.092,10.731,49.223,40.776,106.56,513.52,0.51654,84.96,0.10054,liquid
22,12733,0.87293,1.1456,10.086,10.728,49.199,40.768,106.33,514.67,0.51244,85.107,0.10067,liquid
22,12800,0.87359,1.1447,10.079,10.724,49.176,40.76,106.11,515.82,0.50839,85.254,0.10079,liquid
22,12867,0.87424,1.1439,10.073,10.72,49.152,40.752,105.89,516.96,0.50439,85.4,0.10091,liquid
22,12933,0.87488,1.143,10.066,10.717,49.129,40.745,105.68,518.09,0.50042,85.546,0.10103,liquid
22,13000,0.87553,1.1422,10.06,10.713,49.106,40.737,105.46,519.21,0.4965,85.691,0.10115,liquid
22,13067,0.87616,1.1413,10.054,10.71,49.083,40.73,105.25,520.33,0.49262,85.835,0.10127,liquid
